time,mos,flwid,upstream_bytes,downstream_bytes,protocol,src_port,dst_port,application_type,upstream_packets,downstream_packets,local_ping,server_ping
2022-09-10 08:22:36,"4.46874 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.695,65.100
2022-09-10 08:22:35,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.750,51.500
2022-09-10 08:22:32,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.689,146.000
2022-09-10 08:22:31,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.627,78.000
2022-09-10 08:22:34,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.727,113.000
2022-09-10 08:22:30,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.724,156.000
2022-09-10 08:22:29,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.762,60.400
2022-09-10 08:22:28,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.653,96.000
2022-09-10 08:22:27,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.680,76.300
2022-09-10 08:22:26,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.749,65.900
2022-09-10 08:22:25,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.624,141.000
2022-09-10 08:22:24,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.699,89.000
2022-09-10 08:22:23,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.639,19.100
2022-09-10 08:22:22,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.586,19.100
2022-09-10 08:22:21,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.735,154.000
2022-09-10 08:22:20,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.667,47.700
2022-09-10 08:22:19,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.584,51.800
2022-09-10 08:22:17,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.729,150.000
2022-09-10 08:22:16,"4.38242 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.689,149.000
2022-09-10 08:23:05,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.628,129.000
2022-09-10 08:23:04,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.679,159.000
2022-09-10 08:23:03,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.637,110.000
2022-09-10 08:23:02,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.594,39.800
2022-09-10 08:23:01,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.550
2022-09-10 08:23:00,"4.49086 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.611,97.500
2022-09-10 08:22:33,"4.43747 
",137198,732,348,UDP,59702,3478,VOIP,4,2,0.679,158.000
2022-09-10 08:22:59,"4.49086 
",137207,385335,495771,UDP,59702,3480,VOIP,3551,3074,0.647,61.700
2022-09-10 08:22:49,"4.4184 
",137207,330142,419410,UDP,59702,3480,VOIP,3042,2607,0.630,73.000
2022-09-10 08:22:48,"4.4184 
",137207,324562,412121,UDP,59702,3480,VOIP,2990,2562,0.573,162.000
