time,mos,flwid,upstream_bytes,downstream_bytes,protocol,src_port,dst_port,application_type,upstream_packets,downstream_packets,local_ping,server_ping
2022-09-20 05:12:38,"3.80625 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.739,58.600
2022-09-20 05:12:37,"4.46328 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.684,68.500
2022-09-20 05:12:36,"4.42188 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.716,60.800
2022-09-20 05:12:40,"4.40368 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.652,29.100
2022-09-20 05:12:35,"4.53667 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.675,58.600
2022-09-20 05:12:39,"3.99654 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.690,16.100
2022-09-20 05:12:56,"4.52386 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.789,57.600
2022-09-20 05:12:55,"4.35266 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.592,66.500
2022-09-20 05:12:52,"4.42089 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.535,54.400
2022-09-20 05:12:54,"4.23293 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.672,22.000
2022-09-20 05:12:51,"4.42899 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.597,62.100
2022-09-20 05:12:50,"4.40359 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.565,50.900
2022-09-20 05:12:53,"4.37741 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.525,64.100
2022-09-20 05:12:49,"4.38802 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.653,63.100
2022-09-20 05:12:48,"4.43883 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.570,59.900
2022-09-20 05:12:47,"4.33499 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.636,16.200
2022-09-20 05:12:43,"4.41167 
",144797,414,0,UDP,50130,3478,VOIP,3,0,1.620,66.600
2022-09-20 05:12:42,"4.29835 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.675,15.900
2022-09-20 05:12:41,"4.02104 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.775,24.000
2022-09-20 05:12:46,"4.42979 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.689,43.500
2022-09-20 05:12:45,"4.36308 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.656,59.200
2022-09-20 05:12:44,"4.3049 
",144797,414,0,UDP,50130,3478,VOIP,3,0,0.648,34.500
2022-09-20 05:12:40,"4.40368 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.652,29.100
2022-09-20 05:12:39,"3.99654 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.690,16.100
2022-09-20 05:12:38,"3.80625 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.739,58.600
2022-09-20 05:12:37,"4.46328 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.684,68.500
2022-09-20 05:12:36,"4.42188 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.716,60.800
2022-09-20 05:12:35,"4.53667 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.675,58.600
2022-09-20 05:13:28,"4.53436 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.692,16.000
2022-09-20 05:13:27,"4.10055 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.761,16.300
2022-09-20 05:13:26,"4.27314 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.604,17.500
2022-09-20 05:13:25,"4.40533 
",144801,0,0,UDP,51528,3478,VOIP,0,0,0.555,43.500
